,01 vs 02,01 vs 18,04 vs 18,00 vs 02,04 vs 08,08 vs 18,01 vs 08,02 vs 18,02 vs 04,00 vs 01,00 vs 08,02 vs 08,01 vs 04,00 vs 18,00 vs 04
SEMA6A,0.11153519,0.97060525,0.7858174,-0.11632523,0.39163727,0.4189768,0.5620333,0.91013885,0.12041068,-0.22189415,0.37234697,0.49404967,0.19809319,0.76148367,0.007546338
TINCR,0.022372235,-0.076724656,-0.19173642,0.028251907,-0.036979474,-0.15921102,0.08947517,-0.087249845,0.095247775,-0.0035689918,0.09612955,0.06771217,0.11268771,-0.07840191,0.12743975
AC092620.2,0.13890961,-0.05594616,0.044780593,-0.026480762,0.011557556,0.06530048,-0.09951034,-0.12947878,-0.25284684,-0.1616729,-0.25255126,-0.21671042,-0.14190759,-0.1689471,-0.25066218
PWAR6,-0.033247933,0.7243729,0.74351317,-0.45125064,0.36760816,0.38625816,0.34183374,0.8159722,0.06433835,-0.426011,-0.055243324,0.42884186,-0.0019711857,0.31411633,-0.39917925
AC026124.2,-0.026170386,-0.67242956,-0.53125745,-0.09046712,-0.22786404,-0.29825482,-0.37994754,-0.649262,-0.138542,-0.06790973,-0.43284044,-0.3602654,-0.15357353,-0.7293532,-0.21735412
C19orf73,-0.05147236,-0.13441801,-0.38802958,0.24407458,-0.14823204,-0.23122294,0.12022388,-0.084027246,0.31909177,0.29506242,0.4064613,0.17827955,0.29067248,0.14695089,0.54875505
CD52,-1.1007628,-1.5680621,0.30239198,-2.199016,-0.09050633,0.380148,-1.9752219,-0.45064268,-0.7353582,-1.1556162,-3.0820699,-0.79749167,-1.8408033,-2.7013042,-2.9708905
NBEA,-0.27225795,-1.1973662,-0.41088438,-0.9650171,-0.30239967,-0.08837903,-1.0953819,-0.8808312,-0.5178554,-0.7279655,-1.78641,-0.7969732,-0.82233846,-1.9128797,-1.4874827
SAT1,0.06472512,-0.10373506,-0.2263668,0.299732,-0.15418719,-0.05778771,-0.039009783,-0.18973958,0.052797627,0.2528177,0.20156018,-0.09443194,0.13034272,0.14626363,0.35842827
AC006001.2,-0.37801352,0.32592404,0.54247636,-0.5662146,0.12463932,0.409462,-0.096643314,0.72123176,0.2047267,-0.20644698,-0.29520056,0.31611425,-0.15689804,0.09906976,-0.4041638
FZD4,0.041639265,0.47664917,0.512154,-0.1611597,0.22889316,0.29991764,0.1889585,0.46510312,-0.048839834,-0.19654733,0.00736738,0.16882688,-0.021281987,0.32059136,-0.20401862
AC026254.4,-0.20146446,0.66453916,0.22552203,0.35065126,0.06558121,0.14386839,0.5455848,0.8535981,0.66138566,0.53086126,1.032857,0.7346364,0.5037587,1.1844152,0.9770961
